"CREATEUSERID";"TITLE";"ABSTRACT";"TYPDOC"
"Krainski Elias";"A toolbox for fitting non-separable space-time log-Gaussian Cox models using R-INLA";"Many processes have space-time non-separable dynamics (e.g. disease spread and species distribution) which should be accounted for during modeling. A non-separable stochastic partial differential approach (SPDE) can be used to consider the realistic space-time evolution of the process in which the spatial and temporal autocorrelation in the latent field are linked (Krainski 2018). Observations of these processes are often measured as point-referenced locations in time, i.e. space-time point patterns. The log-Gaussian Cox process model is a popular class to model point patterns. However, it can be difficult fit in practice because the likelihood depends on an integral over the spatial and temporal domains. Implement these models in R-INLA is challenging because it involves several steps. We provide a step-by-step approach to constructing a space-time model in R-INLA using fox rabies as a case study. We discuss several useful updates to the R-INLA package (e.g. inlabru), including improvements to the integration methods in space and time and options to improve computational performance. We also discuss several practical considerations for users to consider in model construction including mesh generation, model implementation, model checking and extensions to the basic model. The goal of this work is to help users avoid common pitfalls when constructing and interpreting these models.";"oral presentation"
"Yang Guang";"gbp: A 4D multiple bin sizes bin packing problem solver";"In the transportation and logistics management, shipping cost is associated with not only the package's three-dimensional physical sizes but also the package's weight. Furthermore, in practice, distribution centers often possess several types of standard bins with different dimensions, rather than a single type of bin. This multiple types of bins extends the problem complexity in the sense that the objective is not only minimizing the number of bins but also maximizing the overall bin utilization rate with such number of bins. In this paper, we proposed a score function based best-fit-first with adaptive recursion approach (SB-BFF-AR) to solve the four-dimensional multiple bin sizes bin packing problem (4D-MBS-BPP). We demonstrate the effectiveness and efficiency of the proposed approach with extensive computational results. In particular, we see that the proposed approach achieves 98% of utilization rate with 1000x faster in time comparing to the global optimum solution. We then show the usefulness of having this solver with a business case where it empowered us developing a machine learning approach for shipping box design.";"oral presentation"
"Henry Lionel";"Reusing tidyverse code, the easy way";"In 2017 the tidyverse grammars were reimplemented on top of tidy evaluation, a metaprogramming framework from the rlang package. Tidy eval makes it possible to program flexibly and robustly with data masking functions from packages like dplyr or ggplot2. However, possible does not mean easy. Tidy eval has the major downside of requiring to learn new programming concepts and tools. In this talk, we'll focus on easier techniques to reuse code from tidyverse pipelines without such a steep learning curve: mapping columns, using fixed column names, passing dots, subsetting the `.data` pronoun, and interpolating expressions. These techniques will help you write functions around tidyverse pipelines and reduce code duplication in your scripts.";"oral presentation"
"Owokotomo Olajumoke Evangelina";"Predicting Risk Groups for Survival of Cancer Patients Using a Robust Metabolomic Signature: The MetabolicSurv R package";"Recent research in oncology is focused on developing robust signature for patient survival using various form of high dimensional omics platforms such as gene expression data, metabolic data and RNAseq, in order to gain a better insight in identifying patients with high-risk for mortality. This method has received a lot of attention in the literature with many authors advocating its usage based on its delineation in discriminating patients. For metabolic data, despite the several research carried out in this area, the software to conduct this type of analysis is not yet available. To address this, a new R package was developed, the MetabolicSurv package (https://cran.r-project.org/web/packages/MetabolicSurv/index.html), aimed at closing the gap by providing a user-friendly data analysis tool both for modelling and visualization. The package incorporates different methods (supervised PCA, supervised PLS, majority voting, Lasso and elastic net) to develop the signature for predicting survival and classifying patients into low and high-risk group for mortality. The package allows integrating patient-specific clinical data and metabolic data in order to develop the signature and therefore allows the usage of the most updated and relevant patient data in developing the signature. We illustrate the usage of the MetabolicSurv package using a study of 149 lung cancer patients.";"poster"
"Guernec Gregory";"OTRECOD: Using Optimal Transport theory in database fusion for recoding heterogeneous variables";"Database merging is a current operation for any user who frequently manipulates data. Nevertheless, when the databases of interest are constructed from heterogeneous sources (by example collected at different places and/or at different times), it is not unusual that different encodings (different scales by example) are used for some shared keys variables, making data fusion often difficult or even impossible.

For resolving this problem, we propose an original recoding approach using optimal transportation theory (G. Monge, 1781). Indeed, this approach gives us an application to map the measure associated with the key variable in the first database to that associated with the same key variable in the other database. This idea was made possible by minimizing the expectation of a cost function using a distance measure in the space of the common covariates and by introducing an allocation function using an adapted k-nearest neighbors algorithm. 


We now propose an R package called OTRECOD to make easily accessible this theory to R users, which gather the algorithm of this original approach in few flexible functions with some interesting options.




    ";"poster"
"Leodolter Maximilian";"runDTW: An algorithm to detect prototypical patterns in long time series";"Subsequence matching and Dynamic Time Warping (DTW) are two well-known research areas in time series analysis [1] . The combination of both concepts in terms of matching time series subsequences via the distance measure DTW is not trivial due to the quadratic runtime complexity of DTW and the typical large number of possible subsequences within one long time series. We propose the algorithm runDTW (to be released with version 1.0.6 of IncDTW on CRAN by end of March 2019) which accelerates the search in a long time series for the k-nearest subsequences of a multivariate time series query pattern by (1) incrementally updating of the normalization and the DTW cost matrix by recycling previous computation results, and (2) by lower bounding and early abandoning to skip and abandon unnecessary computations. We apply runDTW on a database of multivariate accelerometer time series collected via smartphones while travelling with different transport modes. runDTW enables detecting transport mode specific patterns in accelerometer records in acceptable runtime, and provides insight into the transport mode specific data to improve transport mode classification.  [1] Fu, Tak-chung. ""A review on time series data mining."" Engineering Applications of Artificial Intelligence 24.1 (2011): 164-181.";"poster"
"Poinsot Romane";"A Shiny Webapp for nutritional reformulation of food products according to French front-of-pack ?Nutri-Score? label.";"In France, over half of processed food consumed on daily basis is made by food industry. Dietary behaviors play a key role in development of chronic diseases. In order to help people make healthier choices, French government, among others actions, implemented Nutri-Score label, on a voluntary basis. This scoring adapted from Food Standard Agency score ranges from A (green, best score) to E (red, worst score), taking into account contents of 7 favorable and unfavorable common components in food. We developed a web-based Shiny app to help agribusiness professionals calculate and improve the Nutri-Score of their products. A first feature consists in loading user's product nutritional composition table and automatically calculating score for all products. Using ggplot2 and ggiraph, the user visualizes score repartition in all her/his products database, filtering according to her/his own variables. Officer allows user to pick up desired graphs for automatic report. Then, from a product and score target (from A to E) selected by user, all combinations of components (expressed as contents ranges) complying with target are generated. Only the closest combinations to the initial nutritional composition are displayed to user. She/he can also choose varying components. In this way, user gets conceivable solutions to improve nutritional quality of her/him products by saving her/him valuable time.";"lightning talk"
"Baker Laurie";"Outfoxing Rabies: A case study for fitting non-separable space-time log-Gaussian cox models using R-INLA";"Many processes are strongly linked in space and time for which it is natural to model these two characteristics of the process jointly (e.g. disease spread, fish aggregations). However, developing models that can capture spatiotemporal processes remains a challenge, due to a lack of computationally efficient statistical approaches for model fitting. The integrated nested Laplace approximation algorithm (INLA) speeds up computation and provides a flexible framework for fitting latent Gaussian models in a Bayesian context (Rue et al., 2009). Within the INLA framework, the stochastic partial different equation (SPDE) approach constructs flexible fields to model datasets with complex spatial structure (Lindgren et al. 2011). Krainski (2018) has extended the SPDE model to consider the realistic space-time evolution of the process through a non-separable space-time SPDE model in which the spatial and temporal autocorrelation in the latent field are linked. Using fox rabies as a case study, we illustrate how this approach can be used to capture the spatiotemporal nature of disease transmission. We model the fox rabies case data as arising from a log-Gaussian Cox point process and fit the model using R-INLA. In this poster we present the results of this analysis and discuss several practical considerations for users to consider in model construction, implementation, and model checking.";"poster"
"Vanwindekens Frederic";"Visualisation of open-ended interviews through qualitative coding and cognitive mapping";"Open-ended interviews are common approaches in social sciences for catching the respondents' worldviews, feeling and knowledge. Their popularity is growing in natural science, particularily for studying social-ecological systems like farms, forests or fisheries. In these systems, decision-making processes and practices are no easily taken into account by classical experimental approaches.

We developed an original approach that aims to visualize and analyse perceptions, knowledge and practices of managers in social-ecological systems. Based on the usage of R, we contributed to and developed two Shiny Applications that aims to (i) qualitatively code textual documents, like transcribed open-ended interviews ('qcoder') and to (ii) treat the outputs of the qualitative coding in order to draw cognitive maps ('cogmapr'). Cognitive maps are digraphs of variables that can be used as a semi-qualitative model of interviewees' worldviews. The ?cogmapr' tool contains major functions from our 'Cognitive Mapping Approach for Analysing Actors' Systems of Practices' : drawing Individual Cognitive Maps, computing Social Cognitive Maps and main indicators from the graph theory.

The presentation will be supported by case studies from various agroecological systems : grassland, forest in Belgium and Romania, crop diversification in Europe, soil management in Québec.";"oral presentation"
"Kiener Patrice";"RWsearch: a package for CRAN users and task view maintainers";"Navigating the R Package Universe was intensively discussed at useR! 2017 and is still a hot topic. Ordinary R users expect to find the best packages that match their needs whereas task view maintainers have to identify all packages that fall in the scope of their task views. With the size of CRAN, the task is immense and a dedicated search engine is required. Some new solutions appeared in 2018 and 2019 and will be discussed in this talk.   Among them, the 'RWsearch' package was developed to facilitate the maintenance of the 'Distributions' task view (which is ranked number five by the number of referred packages) but can be used by every R users. It includes a comprehensive set of functions to download the packages and task view master files from CRAN, explore these files, search packages by keywords, date of publication and sophisticated options, display the results as a data.frame or as a classical text in console, txt, html or pdf outputs, download the whole package documentation in one click (a wonderful function for people who need to work offline) and, for task views, compare the results with the list of already referred packages. Since its inception, 'RWsearch' has helped us discover more than 100 new packages.   Along with the CRAN exploration tools, 'RWsearch' has direct links to more than 60 external web search engines. We expect this list to grow with the contribution of everyone.";"oral presentation"
"Goehry Benjamin";"Random forests for time series";"Random forests were introduced in 2001 by Breiman and have since become a popular learning algorithm, for both regression and classification. However, when dealing with time series, random forests do not integrate the time-dependent structure and treat each instant as an independent observation. In this study, we propose the rangerts, an extended version of the ranger package for time series.

Goehry (2018) proved under right hypotheses on parameters and the time series that random forests are consistent. In practice, the idea is to replace the IID bootstrapping with dependent bootstrapping to subsample time series during the tree construction phase to take time dependency into account. 

We tested our package both on numerical simulations and the real world applications on electricity load and show our method improves forests' accuracy in some cases. We discuss also how to make a good choice of the key parameters. References Breiman L. Random forests, Machine Learning, vol. 45, no.1, pp. 5?32, 2001. Goehry B. Random forests for time-dependent processes, preprint, Available: https://hal.archives-ouvertes.fr/hal-01955331, 2018. Wright M.N. & Ziegler A. ranger: A fast implementation of random forests for high dimensional data in C++ and R, J Stat Softw 77:1-17, 2017.";"oral presentation"
"Vaughan Davis";"Simple Arrays";"Within the tidyverse, the core structure that powers many packages is the tibble, a modern reimagining of the data frame. Unfortunately, with the large focus on data frames, the array has been left behind. The rray package is an attempt to change that. By borrowing ideas from tibble, rray hopes to create ?simpler arrays? that are more predictable to use and program around. To accomplish this, rray provides the following new infrastructure:   An rray class, which never drops dimensions while subsetting, and consistently retains dimension names where possible.    Broadcasting semantics, using the xtensor library. rray implements the wildly popular idea of broadcasting, originally found in the Python library, numpy, to allow more intuitive and powerful operations between multiple rray objects. This opens up a much more complete set of operations than is currently possible with base R.    A consistent toolkit for common array manipulation tasks, such as computing sums and products along any axis. Each function retains dimensionality by default, making it easy to link operations together through broadcasting. Importantly, this toolkit works with base R arrays as well as with the new rray objects.  https://davisvaughan.github.io/rray/ https://github.com/DavisVaughan/rray";"oral presentation"
"Svetunkov Ivan";"Smooth forecasting in R";"There are several packages in R that implement forecasting using state space models, and only one that relies on a single source of error state space model (?forecast' package). Unfortunately, the forecasting functions in that package are not flexible enough for different research purposes. For example, exponential smoothing, implemented in ets() function does not allow using explanatory variables, setting the initial values of the states vector and does not allow fitting models to the data with periodicity higher than 24. This motivated the original development of the package back in 2015, with the main aim of making the research in forecasting area ?smooth?. Four years later, the smooth package has a handful of flexible forecasting functions useful for different research purposes, implementing ETS, ARIMA, vector exponential smoothing, simulation functions and more. In this presentation we will discuss the main functions of the package, show their advantages and disadvantages, and show how they can be applied for the solution of the real world forecasting problems and complement ?forecast' and other widely used packages.";"oral presentation"
"Nevado Mauricio";"ATTRIBUTE VALUE EXTRACTION MECHANISM OF CONSTRUCTED WETLANDS INFORMATION DATA";"Regardless of the importance of Constructed Wetlands as pollution control technology, a survey conducted by UNU-FLORES showed a demand for a global platform on CW. UNU-FLORES wants to develop the platform ?CWetlands - the Constructed Wetlands Knowledge Platform (CWKP)? in which data from + 7000 articles are to be integrated. Given the number of articles, data extraction would be time-consuming and error-prone. This study aims at developing a code in R to extract data in a reliable and less time-consuming way. It focuses on the extraction of attributes as: Country name, Wastewater type, CW area, Plant species, Type of CW, Metadata, Average BOD5 inflow/outflow concentration. The process contain 4 sub-processes: 1) .PDF are downloaded and converted to .txt 2) .txt are processed to a) remove disordered strings, stop words, etc and b) divide the text into: Abstract, Introduction, Methods, Conclusions, to allow for more targeted word searches. 3) the data is extracted by either one of the following data mining techniques: 3.1.1) Keyword Match: the tool matches a Text Document Matrix and a dataset of keywords, and 3.1.2) Web Scrap: the data is extracted from the journal web page 4) the values extracted are exported to a database. To develop and test the tool, 13 articles were used. The tool achieved a mean success rate of 79% in 30 minutes; less compared with the 480 minutes needed with a manual approach.";"lightning talk"
"Sax Christoph";"tsbox: Class-Agnostic Time Series";"The R ecosystem knows a vast number of time series classes: ts, xts, zoo, tsibble, tibbletime or timeSeries. The plethora of standards causes confusion. As different packages rely on different classes, it is hard to use them in the same analysis. tsbox provides a set of tools that make it easy to switch between these classes. It also allows the user to treat time series as plain data frames, facilitating the use with tools that assume rectangular data.

The package is built around a set of functions that convert time series of different classes to each other. They are frequency-agnostic, and allow the user to combine multiple non-standard and irregular frequencies. Because coercion works reliably, it is easy to write functions that work identically for all classes. So whether we want to smooth, scale, differentiate, chain-link, forecast, regularize or seasonally adjust a time series, we can use the same tsbox-command for any time series class. The talk provides a general overview of time series classes in R and shows how tsbox can be used to facilitate the interaction between them.";"oral presentation"
"Keydana Sigrid";"Getting started with TensorFlow Probability from R";"TensorFlow Probability is a library built on top of TensorFlow offering a vast range of functionality ranging from distributions over probabilistic network layers to probabilistic inference. Major components include (1) probability distributions, trainable distributions and bijectors, (2) probabilistic network layers, and (3) probabilistic inference (based on MCMC or variational inference). All components work seemlessly with core TensorFlow and TensorFlow Keras, and may run distributed and on GPU. In this talk, we show how to get started using TensorFlow Probability from R, and how to integrate its functionality with deep learning applications.  ";"poster"
"Vieilledent Ghislain";"Using Rcpp* packages for easy and fast Gibbs sampling MCMC from within R";"Hierarchical Bayesian models are increasingly used for applied statistics. Parameters of such models can be estimated through Gibbs sampling Markov chain Monte Carlo using a variety of algorithms (conjugated priors, Metropolis-Hastings, Hamiltonian Monte Carlo). These algorithms approximate the parameter posterior distributions through iterative simulations and are computationally intensive. Using C/C++ language to code such algorithms make computations faster. In our presentation, we will show how Rcpp* R packages (Rcpp, RcppGSL and RcppArmadillo), can be easily used to (i) call Gibbs samplers written in C++ from within R, (ii) reduce computation time through efficient random draws, and (iii) facilitate vector and matrix operations. We will illustrate this approach with the new jSDM R package for fitting joint species distribution models.";"oral presentation"
"Ko Myungji";"Forecasting and Visualizing Churn data - R-shiny";"Customer churn occurs when a customer does not like the service of an existing institution or feels that the service of another institution is better. From the agency's perspective, it is more economical to retain existing customers than to attract other customers, so forecasting customer churn is more important than ever. In this study, we conducted visualization to identify the characteristics of variables of mobile carrier termination data and made some statistical models using R. Supervised learning methods such as logistic regression, random forest, SVM and DNN were used. Using data from Kaggle, 7043 customer information with 21 features each, the results of the study show the highest accuracy of 79% in SVM when predicting churn rate and the most prominent variable for high churn rate was ""the use of Online Security"". We also developed a web-based platform with RShiny package that visualize the patterns of customers who would churn with have high probability. It also shows the probability of churn when a new customer's information entered. Through our research, telecom organizations can be aware of customers who are likely to churn and develop marketing strategies to keep these customers engaged.";"poster"
"Fras Alicja";"Optimizing children sleeping time using regression and machine learning";"Sleeping child is an everyday dream come true of every young parent. Unwilling to fall asleep child can change one's life into a nightmare and those, who calmly sleep long hours used to be the object of desire. There are many functions, that the parents try to optimize - some simply want their children to sleep as much as possible, some want to wake up later and enjoy their kids in the evenings or the opposite (you cannot have it all), in our case we also wanted to synchronize sleeping times of our two children. To reach the goal, they try to find some patterns in children`s behavior ? they impose some daily routines, do not let children nap too long during the daytime or try to put them in bed earlier, hoping that slower pace will lull them. However intuitions may be misleading, and that is why after a few months of observing my children sleeping patterns I decided to hire statistical tools. I wanted to verify the hypothesis if we should wake them up earlier in the morning (which in case of our kids turned out to be true), but the framework allowed me to detect also some more useful patterns and draw hints. After first attempts with linear regression, I decided to introduce my kids to the neural network and let it learn. My further idea is to create a web app, where one can upload a data file with observed sleeping times and habits, which would help draw reliable conclusions. ";"lightning talk"
"Grueber Friedrich-Claus";"Big data analysis for power plant operational data for optimizing engineering design in R / Shiny";"A typical gas fired power plant is equipped with sensors and instrumentation devices to capture key operating parameters of power plants. With a large fleet of power plants operating around the globe over >= 10 years , the volume of sensor data being captured enters the realm of big data and provides an opportunity to apply big data analytic techniques to mine valuable information for optimizing engineering design of power plants.

The often used ""worst case approach"" usually leads to large design margins and increased cost. With the advent of big data technology, low cost computation and memory, it is now possible to mine the sensor measurements to either validate or dispute worst case assumptions made during design. Therefore a core processing R kernel was developed performing statistical and data analysis on time series data like:   KDEs, pdfs, correlations,Time series   probability estimations in regions    conditional probability analysis   violin/box plots   Event Detection    An Shiny application has been developed integrating the core processing kernel and providing data analytic functionality available for design engineers like automatic :
- shortlisting/specification of senor names
- generatiion of fitting list of plants & units of our fleet
- download and post processing of time series data 
- GUI for data analytic techniques/visualations
";"oral presentation"
"Devailly Guillaume";"Toulouse R User Group";"Toulouse R User Group (or R-Toulouse) started its activities with a first meeting in September 2018. We organised 1-hour long events every months or two months, where two speakers introduced us to various topics, from introductions to the tidyverse and data.table to Bayesian statistics and symbolic differentiation, from shiny to metagenomic visualisations. The slides are made publicly available online shortly after the presentations. Meetings are free, without registration, and open to all, student, academic and non-academic professionals, hobbyists. A code of conduct is in place to ensure safe, harassment-free meetings. Events have been generously hosted at Institut Mathématique de Toulouse and INSA Toulouse. We encourage speakers to present in French, as many good English resources are already available, but English content is welcome too. Events are advertised on the R-Toulouse website (r-toulouse.netlify.com) build with blogdown, through our twitter account (@RUG_Toulouse), and a mailing list (r-toulouse@groupes.renater.fr). This poster will advertised for this local user group, present its activities, and explained the tools and processes used to make it lively.";"poster"
"Schmutz Amandine";"funHDDC, a R package to cluster univariate and multivariate functional data";"The emergence of numerical sensors in many aspects of everyday life leads to the collection of high frequency data. For example in sports, athletes wear devices
that collect simultaneously several variables during their training to follow their physical constants. This kind of data can be classified as multivariate functional data. To
ease the understanding of those data, there is an increasing need of methods to analyze multivariate functional data. This work presents an R package that provides a clustering technique (Schmutz et al, 2018) that eases the modeling and comprehension of those multivariate functional data. This method, named funHDDC, is based on a functional latent mixture model which allows the partition of data into homogeneous clusters, and an EM algorithm for model inference. In addition to clustering algorithm, the package provides model selection criteria for choosing the number of clusters, and allows the execution of principal component analysis for multivariate functional data. The package usage will be shown on several practical examples whose an original example of horse speed prediction.";"oral presentation"
"Devailly Guillaume";"PEREpigenomics: a shiny app to visualize Roadmap Epigenomics data";"The Roadmap Epigenomics consortium has gathered and produced abundant epigenomic data in human cell lines and tissues to build reference epigenetic maps. The data is freely available, and is exploitable through web browsers. It has been used by the consortium to classify chromatin into ?states' that can be more easily compared across cell type. Here we systematically assessed the links between epigenetic marks and transcription by generating ?stacked profiles' of epigenetic marks at transcription start sites (TSS), transcription end sites (TES) and middle exons, sorted according to expression levels or exon inclusion ratio, for each cell type and tissue in the dataset. The thousands of attractive visualisations generated are made easily browsable through a web application, www.perepigenomics.roslin.ed.ac.uk. We also investigated how change of epigenetic marks across cells were correlated to change of expression level / inclusion ratio, allowing us to build a comprehensive understanding of the associations between epigenetic marks at TSS, TES and middle exons and expression levels or exon inclusion ratio.";"oral presentation"
"Canonici Merle Elie";"Typing R";"For a long time now, programming langages have been divided in two categories, dynamically typed ones and statically typed ones.Both sides tend to argue that their system has more inherent benefits than drawbacks according to their needs. On one hand it is convenient to have a system that allows writing non well typed programs that you know to be correct. On the other hand, no programmer is ever safe from a silly mistake taking ages to be fixed, if ever detected, in his code base. Thus, with the ever growing usage of dynamically typed langages such as R or javascript, it has become increasingly important to detect mistakes as early as possible in the deveopment process. By adapting some approaches inherited from the strongly statically typed langages community we have developped a typing system for a fragment of the R programming language. We argue that it does not restrict the expresiveness of the R language beyond what is actually widely used. Moreover we have embedded a type checker in a state of the art integrated development environment leveraging the graphical interface to report useful errors to the user.";"oral presentation"
"Mørk Kristoffer";"Estimate, Estimator, Estimand?";"Over the past few years, the term ?Estimand' has become a buzzword in the pharmaceutical industry. The ICH E9 addendum[1] introduces the latest theory of estimands. An estimand can be seen as a description of what has to be estimated in order to answer a scientific question of interest in a clinical trial. Hence, an estimand forms the basis for an estimator and the corresponding estimate. Several estimators can be defined for an estimand with one being the primary estimator and the others being sensitivity estimators. We have created a shiny app to illustrate the concept of estimands. The shiny app considers a clinical trial within type 1 diabetes mellitus with a parallel group design and repeated measurements of a continuous variable. Some of the data is missing due to withdrawals and eventually due to the defined estimand. The shiny app handles the missing data problem by using some of the multiple imputation methods implemented in the R package MICE. Some extra functionalities have been developed in order to ease the use of the MICE package in a clinical trial setup. The theory of estimands may also be useful in other settings than clinical trials. 
  [1] https://www.ich.org/fileadmin/Public_Web_Site/ICH_Products/Guidelines/Efficacy/E9/E9-R1EWG_Step2_Guideline_2017_0616.pdf";"poster"
"Crouchley Robert";"Algorithmic Differentiation in R using the RcppEigenAD package";"Algorithmic Differentiation (AD) has been available as a programming tool for statisticians for a number of decades. However, its adoption as an alternative to symbolic and numeric methods does not seem to be very common. One possible reason for this is the difficulty that is typically encountered when attempting to integrate AD functionality into existing statistical computing environments. The RcppEigenAD package attempts to mitigate these difficulties when employing AD within R by combining the facilities of the Rcpp package for extending R with C++, the AD library cppAD, and the Eigen linear algebra library, into a single R package. The resulting package, (RcppEigenAD), allows the user to define matrix valued functions of matrix arguments in c++ and seamlessly integrate them into an R session in a way that allows not only for computing the function but also their Jacobian and Hessian. The package also includes an implementation of Faa di Bruno's formula for calculating the partial derivatives of the composition of functions defined by the user. The package has application in the areas of optimisation, sensitivity analysis and calculating covariances via the delta method, which are illustrated with examples.";"oral presentation"
"Soldanova Veronika";"Web GIS application of water reservoirs around the town of Banská ?tiavnica";"On their poster the authors will demonstrate a geographical information system for the system of historical water reservoirs in the surroundings of Banská ?tiavnica (a town in Slovakia). The application is built on the Shiny and Leaflet R packages, and the visual aspect was fine-tuned with the CSS mark-up language. The construction of this water management system began in the 16th century; in the 18th and 19th centuries its dams were among the highest in Europe. Today, it is a cultural heritage site registered in the UNESCO list. It is an important landscaping element and a recreational structure. Despite its historical and present importance, there is no public source of information that provides the available data on this system in a comprehensive way. The application created by the authors provides any interested person with a user-friendly visualisation and coherent view of the water management system of Banská ?tiavnica, along with its history, its present, its technical parameters and the level of quality of its recreational use. Moreover, there is an option to add one´s own data to this GIS system, which is used for the creation of emotional maps.";"poster"
"Smith Joanet";"Calibrating the fundamentals of a Multinomial Logistic System to fit a South African public transport system.";"Calibrating the fundamentals of a Multinomial Logistic System to fit a South African public transport system, through data mining and choice modelling in R. This study enables the analysis of millions of datasets within seconds and shows to power of using R as a data mining and analysing tool. This study presents the analysis of the choice made for the selection of specific Integrated Rapid Transport (IRT) bus stations by daily commuters within Cape Town (South Africa). The analysis applies the mixed nominal logit model, allowing for random distribution of tastes across decision-makers. The model is constructed in R and millions of revealed preference (RP) datasets of commuter choices are analysed within seconds. This study demonstrates the application of data mining and choice modelling techniques within R.";"lightning talk"
"Jung Hae Yoon";"Simulation of the physical movement for Machine Learning with R: Simulation of Robot gait Optimization Using GA";"Recently, machine learning algorithms are used popularly in the engineering field, and simulation of the specific situation becomes one of the important processes. In this talk, we propose an environment for simulation of the physical movement in robots with R. We carried out the optimization of robot gait which is a major issue in the robotics area. As an optimization algorithm, GA (Genetic Algorithm) was used. In our physical simulation, we considered two options. The first option is about position and velocity when forces are applied to the body. We solved this dynamic equation of a robot's body placed in 2-dimensional space using the 3rd order Runge-Kutta method. The second option is for constraining the position and velocity when a body contacts the ground. The sequences of the robot's body position were visualized with animation package in R. This virtual robot has a body, and five parameters determine its walking trajectory. GA package in R was used to optimize these parameters. We successfully get some values that enable robots to walk steady and fast. Through this study, we expect simulation in robotics engineering area can be conducted with R as well.";"oral presentation"
"Jung Bogati Binod";"Building Active Community at Your Place";"The strength of R comes from its community. It's easy to get involved as a member into community (if it exists). However, building a new community or making a community active is not easy. Here, I'll share my experience (as a student) on building first R community in Nepal (now 350+ members). What were the shared struggles of my community? How I managed to overcome challenges and made welcoming & active community. Besides that, I'll also share how our community helps student learn R in academics & research. So, come and join me to know tips on building active & engaging community at your place.";"lightning talk"
"Li Tiantian";"Estimating mortality burden attributable to short-term PM2.5 exposure in China using R";"Studies worldwide have estimated the number of deaths attributable to long-term exposure to fine airborne particles (PM2.5), but limited information is available on short-term exposure, particularly in China. In addition, most existing studies have assumed that short-term PM2.5-mortality associations were linear. There is an urgent need for a comprehensive, evidence-based assessment of the disease burden related to short-term PM2.5 exposure in China. Here, we explored the non-linear association between short-term PM2.5 exposure and all-cause mortality in 104 counties in China; estimated county-specific mortality burdens attributable to short-term PM2.5 exposure for all counties in the country and analyzed spatial characteristics of the mortality burden due to short-term PM2.5 exposure in China using R. The pooled PM2.5-mortality association was non-linear, with a reversed J-shape. We found an approximately linear increased risk of mortality from 0 to 62 ?g/m3 and decreased risk from 62 to 250 ?g/m3. We estimated a total of 169,862 additional deaths from short-term PM2.5 exposure throughout China in 2015. Short-term PM2.5 exposure contributed greatly to the death burden in China, approximately one seventh of the estimates from the chronic effect. Traditional linear effect models likely underestimated the mortality burden due to short-term exposure to PM2.5.";"poster"
"Yuki Hira";"Time Series ExploreR : Interactive time series analysis for data science in Shiny App";"Exploratory Data Analysis (EDA) is an essential process for understanding time series and conducting useful feature extraction. We introduce ""Time Series ExploreR"", which provides interactive EDA in Shiny web apps to accelerate time series analysis for data scientists. Time Series ExploreR is now deployed on data science platform in NTT Communications which is one of the largest Internet service providers in Japan. We will present the effectiveness of this tool with some real use cases and demo. Time Series ExploreR provides four functions that enable time series analysis process interactively. First, it provides time series visualization at various time interval to understand the time series. Second, it provides nessesary information for time series analysis.(e.g. missing value, frequency distribution, correlation, periodic component) Third, it provides basic feature extraction from uni- or multi-variate time series. Fourth, these features are also useful for multiple time series anomaly detection methods. By performing these processes interactively on the web apps using Shiny, it becomes possible to analyze time series data easily and quickly for data scientists.";"poster"
"Olusoji Oluwafemi";"?cyanoFilter?, An Automated Framework for identifying Synechococcus type cyanobacteria populations obtained via flow cytometry";"Flow cytometry is a well-known technique for identifying cell populations in fluids. It is largely applied in biological and medical sciences for cell sorting, counting, biomarker detections and protein engineering. Identifying cell populations in flow cytometry data often rely on manual gating, a subjective and generally irreproducible method based on expert knowledge. To address this issue, two filtering frameworks were developed in R, identifying and filtering out two strains of Synechococcus type cyanobacteria from flow cytometry data. The first framework employs a one and two-dimensional kernel density approach on two fluorescence channels believed to characterize the cyanobacteria populations while the second employs a multivariate normal approach on five fluorescence channels believed to characterize these cyanobacteria populations. We apply both proposed techniques to data from growth curve experiments of the cyanobacteria in mono- and biculture. We observe that both approaches produced similar growth curves of the cyanobacteria population and cyanobacteria counts within 10% difference range. These two frameworks are currently being developed into an R package, cyanoFilter, for use of others doing flow cytometry experiments involving cyanobacteria.";"poster"
"Dutang Christophe";"Maximum spacing estimation, a new method in fitdistrplus";"Maximum spacing estimation (MSE) introduced by [1] is a method for estimating the parameters based on the probability differences of order statistics. 
More precisely, the method consists in maximizing of the geometric mean of spacings in the data, which are the differences between the values of the distribution function at sorted observations. MSE has been proved to be reliable method both for heavy-tailed models by [2] and lighted-tailed models by [1]. Currently, only the BMT package provides the MSE for a single distribution. In this talk, we study the development and integration of this method in the fitdistrplus package [3]. This latter package provides maximum likelihood and other methods for any distribution characterized by d, p, q functions. Using the S3 class and generic methods, this estimation method nicely fits the package framework. An uncertainty analysis is carried out on simulated datasets from both light and heavy tailed models. Finally, we illustrate the relevancy of this method to model insurance losses on real actuarial datasets. [1] Ranneby, Bo (1984). The maximum spacing method. An estimation method related to the maximum likelihood method. 
[2] Wong, T.S.T; Li, W.K. (2006). A note on the estimation of extreme value distributions using maximum product of spacings. 
[3] M. L. Delignette-Muller, C. Dutang (2015). fitdistrplus: An R Package for Fitting Distributions.";"lightning talk"
